initial,algorithm,heuristic,bound,final,score,explored,time
129125245356347768748896391234123813561945426789867579126182152348375349579694678,hill_climbing,,,921126245356347768748895391234421813567935426189867579126182152348375349579694678,-14,147,0.15013900000000113
142312172376945435895678689912134325345675671678289849281124192345567435679839678,hill_climbing,,,152372142376945735894618689912534325345671674678289819289124193345567425671839678,-12,188,0.2507230000000007
123912234456456967789378851712513613568467492943928758245123139731456872689879456,hill_climbing,,,123912234456456967789378815712513613568467492934982758245123179761456382389879456,-14,171,0.22970400000000168
612172412345345753798689698235512214467348536891769789129245345367671678854893192,hill_climbing,,,612172412345345793798689658235712914467348526891569783129245345367671678854893291,-10,161,0.223198
162426315345357674789189928613293132457456465829781987341123123562567456879489789,hill_climbing,,,162456315345127678789389924613293172457456469829718583348123123561579456279684789,-13,351,0.46277100000000004
182142631345356245679798789513913231467452546829768789124123341685475256973689789,hill_climbing,,,132192671845356245679748389213913235467458146859762789124123431683475256975689789,-15,175,0.23916200000000032
924142123567356456183789789132123245458475639679869718182152213347479465569683789,hill_climbing,,,924192123567356456381784789138523245452471639679869871182152913347479465569638782,-17,229,0.3028119999999994
134152834257384576896679291123931234456267568879845719123234142459568356678719789,hill_climbing,,,134152874257384536896679291123941234456267568879835719123234145459568326678719789,-15,104,0.13511099999999843
124851127563263345789479689238231192567456346419789758136523215457614936829789847,hill_climbing,,,124851127563263345789479689238231192567456346419789758136523285457614936829789417,-13,69,0.08994499999999661
913123248245456356786789791129521123634347564758689978142123123357457469689896785,hill_climbing,,,913123248845456356726789791129528123534347569768619478142623123357457469689891785,-17,166,0.21769300000000058
128127134536534568479689729123139421457456536869278789123456124467927359859831876,hill_climbing,,,128125134546734568379689279123139425457456136869278789123456127467927359859813846,-13,172,0.2273220000000009
612235182345861365789947479123129234647456657589873819124512123596346567378789894,hill_climbing,,,612235182345968376789147459123129534687456627459873819124512123596346567378789894,-14,212,0.2772649999999999
123213514456645687897789239142196245356732387897458169523124123469567475178839689,hill_climbing,,,123613514456245687987789239142176245356932817897458369623124123419567475578839689,-10,204,0.26869100000000046
235712126718453345469689789213237612456815347789694859192145235364637647587892189,hill_climbing,,,235712126871453345469689789213237612456815347789694859192145235384627617567893489,-15,141,0.18744799999999984
238125123546387467971946958812123356435457247679689189134132923586495451279678678,hill_climbing,,,238125123546387467917946985812123356435457217679689489134134923586295451279678678,-15,119,0.15733300000000128
123154419467623356895798782124123614578467235369895789123142146456356235789789879,hill_climbing,,,123164914467528356895793782124123618578467235639895749123172146456356823789489579,-10,274,0.3584940000000003
128235123456647485739891679243123142156468356789597789123136452457458683968729719,hill_climbing,,,128235123456617485739894679246123192351468356789597784123136457457852681968749239,-14,193,0.2630239999999979
136213123457748456892569789345152172861364345279978689192612135463357946578489287,hill_climbing,,,136783123457241456892569789345162172861394345279578689192612537463357946578489281,-10,186,0.24526300000000134
124248172578563534936791689213312412578945356694678798271253163345846452689179789,hill_climbing,,,124248572578563134936791689263312412578945356491678798217253163345846452689179789,-11,94,0.12876500000000135
412134345536578672789296189162417124347256356895893987123723412456941367789568895,hill_climbing,,,912134345436578672785692189562317124347256956891894783123723512456941367789568894,-10,192,0.26133199999999945
123124124584563365967789789193365234456721687782894951912214173345385495678679826,hill_climbing,,,163124124587569365924783789193365234456721687782894951912234173345815495678679826,-17,178,0.23307000000000144
345123123627467758819895694812134246354925738679687519715182135346345462892679789,hill_climbing,,,345123123627457857819896694812134246354925718679687539715182135346345462892679789,-21,84,0.11152699999999882
145234142679576367382189895243135253617647467895892891513213172248457456697869839,hill_climbing,,,145234152679516367382789894243135273617647465895892891918613172243457456657829839,-12,130,0.14698199999999773
231234127647715345589689689132132125468475697795689843314125134526673568789849729,hill_climbing,,,231234127647751345589689689132137125468425697795689843314125134526673568789849729,-18,73,0.07098999999999833
243341261951562457687789893123176329745234415689859678123943123456125745789678689,hill_climbing,,,243341261958562457617789893123176324745234915689859678123493123456125745789678689,-14,88,0.08622800000000197
123513712456284395789697468172123245345748631689659789237124245485567316916389789,hill_climbing,,,123417912456283375789695468172163245345748631689259789237124245845567316961389789,-13,275,0.26512200000000163
123124712567753348894698569612132124374457356589896789123712234465384571978695689,hill_climbing,,,123124718567768342894593569612132124374457856589896739123712234465384571978695689,-15,94,0.09652399999999872
218125126345347435679689879125291346634348257789567819241124167356536235789789849,hill_climbing,,,218125123345367485679489679125291346634348257789567819421124167356596235789783849,-15,106,0.10996000000000095
912123712534495456678678839712162356345435418689789297612912125345736936789458478,hill_climbing,,,952123712134495456678678839812132356345465178679789294612912125345736639789548478,-13,156,0.1587159999999983
123561329456237514789894687261146135453725647789893289123134913546678245978259678,hill_climbing,,,123561392456237814789894657263146135451723627789895489123134913546678245978259678,-16,142,0.1426450000000017
128124123364367567597859894714182213685345467932679895243435124657671356189829798,hill_climbing,,,128124143394763567567859892714182213685345467932679895243435124657671356189829798,-14,88,0.08712399999999931
234123345516847678789596921127136142693785576458942893513123234467456815298789796,hill_climbing,,,234123345516847678789596921127136142693784576458952893813123234467456815295789796,-20,61,0.05985599999999991
256981413783234567194567892123834126567576374849912958152145234346627651789893789,hill_climbing,,,256981413781234567394567892123834126567572394849916758182145234346697651759823789,-11,118,0.1209130000000016
816134241234752357579689896123125245546476637789839891213413237794256468568789915,hill_climbing,,,816134421234752357579689896123128245546476637789539891293413237714256468568789915,-24,84,0.08362100000000083
513124123742567945689983678612132356345458798789679214123123132546746546789895897,hill_climbing,,,513824123247567945689913678612132356345458798789679214123123172546746546789895893,-19,80,0.07882100000000136
234123512596845647718679389173192124452657359689438678612213172345945465789768893,hill_climbing,,,234123512596845647718679389173192924452657351689438678612213172345945463789768895,-16,70,0.0680150000000026
243127134567643256819859789817231152234954348569678769123245234654316856789789719,hill_climbing,,,243127134567463256819859789718234162234951348569678579123245236695316854784789719,-14,201,0.20376699999999914
123123829467456536589789417318142741245678235679359689257724162648135345931689879,hill_climbing,,,123123526467456938589789417318142741245678235679359689257724162648135345931689879,-19,103,0.1002919999999996
123172182854435534679896679312912346567564715948783289581134142237256356649789789,hill_climbing,,,123172152854465834679893679312912346567564715948783289581134142237256356649789789,-22,67,0.07048500000000146
163123134257645567489798928238192234451375856967486791234124561156537243789689789,hill_climbing,,,146123134257845567389796928238192214451375856967486793234124651156537243789689789,-16,141,0.19041900000000211
293236123647571457581849869123123145456456329879789678159412123324587596678963478,hill_climbing,,,243236123697571457581849869123123145456456329879789678159412123324587596678963478,-15,52,0.0648389999999992
125283213346415456789679798123124128456356935879789467213134613846567452579829897,hill_climbing,,,125283913346415256789679748123124125456356839879789467213138613846567452579249897,-16,136,0.18675700000000006
235316124678245657914789389123123123745468459689579687154234123687516548932789769,hill_climbing,,,235316124678245756914789389123123123745468459689579687154234173687516248932789569,-16,83,0.11082500000000195
713234126452516357869897489123124172467567534895389896381425234294678165576931789,hill_climbing,,,713234126458516357269897489123124198467567534895389276981425234234678615576931789,-9,154,0.20175199999999904
172129135834657246569843789123134521465562436789789789325234619167578234849619578,hill_climbing,,,182129135734657246569843789123134524475562316689789789325234619167578234849619578,-15,103,0.13863199999999765
634319124578245356912678789182192143435834657679576289519213617234467295678895348,hill_climbing,,,634319124578245856921678739182192143435836627679574589519213671234467295678895348,-20,166,0.21910799999999853
125612123463345456789798879127321623349467571568859489192123168873467942456895357,hill_climbing,,,125912183364345456789768279127521623349467571568839489192123168873467942456895357,-15,109,0.14540300000000173
234812234715345578968679619142197134356234582789568679123462138459135245678789679,hill_climbing,,,734812236915345578268679419152197134346234582789568679123452138459136245678789679,-10,124,0.165422999999997
128132931345485247679679865412234123367596546895871789196124273234536459578789168,hill_climbing,,,128132691345485247679679835412734123367596546895821789196124273234356459578789168,-16,129,0.1706859999999999
124513136357647725896892894125234813674567495839891672345987124267123357189564689,hill_climbing,,,124513136357647725896892894125234913673567485849891672345978124261123657789564389,-14,136,0.18085999999999913
123148214495256573678739968236132431457456265918789789236123123781465457954879896,hill_climbing,,,123148914495256573678739268238132641457456235916789789236123123781469457954875896,-15,153,0.2039459999999984
513347213247581567896269948123132619456467235897589478243128512567346374189579689,hill_climbing,,,615347283247581567893269941123152916476467235895389478243126712567348354189579689,-14,193,0.2622560000000007
123481132467253567589796894812123413643574562957689789123134471456567283789982569,hill_climbing,,,123841132467253567589796894612123413348574562975689789123134478456567213789982569,-13,183,0.23687200000000175
123125239485467415679389768612157812574823346893469579314132291267567573859894468,hill_climbing,,,123125239485367415679489768613175812574823346892469579314134257267567193859892468,-14,195,0.26236899999999963
143123123856458456792976789231325139495647562678918748123127235467435714589689869,hill_climbing,,,143123123856458456792976789231325139495647562678918748123127235467435814589689769,-17,46,0.058281000000000915
213145123485236456679789798531128235467345641928976789127325134364671567589489829,hill_climbing,,,213145123485296456679783798531128235467345641928976789126325134374671567589489829,-20,55,0.07276099999999985
213123124456487536798596789134124231586569457297738689123291713645354526789678894,hill_climbing,,,293123124456487356718596789134124237587569451296738689123251714645394526789678893,-13,123,0.16851600000000033
213123861567584234489679579135123246426456358789789917137123239452647456689589178,hill_climbing,,,243123861567548234189679579138125246426436758759789913137123239452947456689586178,-11,130,0.17860100000000045
129234386364568512758719479123123123457456649689789857813239174456845235729671689,hill_climbing,,,125234386364568512798719479123123123457456948689789657813239174456845235729671689,-15,99,0.13005199999999917
123192163586345482749678579123254123547167846896839795912145234456632156783897789,hill_climbing,,,123192167586345482749678539123254123547367846896819795912145234456732156783896789,-20,116,0.1484790000000018
123123134456974567879568829123729183458345452697168679182134132569258465734679978,hill_climbing,,,123123134456974567879568829123729183458345456697168279182134192569852463734679578,-10,103,0.14126800000000017
124162213538345475967789689124123231597457456386896789612134123347529458895678679,hill_climbing,,,124162713538345425967789689124123237589457416376896589612134923347529458895678671,-10,137,0.1864270000000019
162923124345456367789718598342451312657632467891789895182123132456564567739789849,hill_climbing,,,162923428345456367789718591345451812697632467821789395182123134456569567739784829,-16,196,0.2627410000000019
134621253526357468789984719731128412248354368569679795214913512567245634893678789,hill_climbing,,,134861253526357461789942789371128412248354368569679795214913512567245934893678786,-17,151,0.20423599999999809
351127126426345354789689789123128913576934456849567278237125124145746356869389789,hill_climbing,,,354127165216345384789689729123128913576934456849567278637125124145476356829389789,-13,188,0.2524230000000003
163523123578467456429189789234134213856752467791869589234214712569678345718953869,hill_climbing,,,143523123578467456629189789234134513856752467791869289234215612569678345718943879,-15,109,0.14719200000000043
126213125345845346789679789167123234923567158458894679324641213567258945891937678,hill_climbing,,,126283125345145346789679789167123234293567851458894679524741213367258945891936678,-14,124,0.16673400000000171
